title,genres
Annaatthe (Hindi),"['action', 'comedy', 'drama']"
Annaatthe (Telugu),"['action', 'comedy', 'drama']"
Annabelle Comes Home,"['horror', 'mystery', 'thriller']"
Annabelle: Creation,"['horror', 'mystery', 'thriller']"
Anne+: The Film,"['comedy', 'drama', 'romance']"
Anon,"['short', 'drama', 'mystery']"
Anonymously Yours,"['drama', 'romance']"
Another Life,"['adventure', 'drama', 'mystery', 'sci-fi', 'thriller']"
Another Self,"['drama', 'romance']"
Ante Sundaraniki,"['comedy', 'romance']"
Ante Sundaraniki (Tamil),"['comedy', 'romance']"
Antebellum,"['drama', 'horror', 'mystery', 'thriller']"
Anxious People,"['comedy', 'crime', 'drama', 'mystery']"
Anything for a Pop Star,"['comedy', 'family', 'music']"
Apocalypse Now Redux,"['drama', 'mystery', 'war']"
App War,"['comedy', 'drama', 'romance']"
Apple of my Eyes,['comedy']
Aquaman,"['action', 'adventure', 'fantasy', 'sci-fi']"
Aquí no hay quien viva,"['comedy', 'romance']"
Aranyak,"['crime', 'drama', 'mystery', 'thriller']"
Arcane,"['animation', 'action', 'adventure', 'drama', 'fantasy', 'sci-fi']"
Archive,"['drama', 'mystery', 'sci-fi', 'thriller']"
Archive 81,"['drama', 'horror', 'mystery', 'sci-fi', 'thriller']"
Archiwista,"['crime', 'drama']"
Are We Done Yet?,"['comedy', 'family']"
Are We There Yet?,['short']
Are You the One?,"['game-show', 'reality-tv', 'romance']"
Arisaka,"['action', 'thriller']"
Army of Thieves,"['action', 'comedy', 'crime', 'thriller']"
Army of the Dead,"['action', 'crime', 'drama', 'horror', 'sci-fi', 'thriller', 'war']"
Around the World in 80 Days,"['animation', 'adventure', 'comedy', 'family']"
Arrival,"['drama', 'mystery', 'sci-fi']"
Arrivano i prof,['comedy']
Arrow,"['action', 'adventure', 'crime', 'drama', 'mystery', 'sci-fi']"
Arthdal Chronicles,"['action', 'drama', 'fantasy', 'history', 'romance']"
Arthur and the Invisibles,"['animation', 'adventure', 'comedy', 'family', 'fantasy']"
Artificial City,"['drama', 'mystery', 'thriller']"
"As Above, So Below","['short', 'thriller']"
As Aventuras de Poliana,"['adventure', 'family', 'romance']"
As the Crow Flies,['action']
Asakusa Kid,"['biography', 'drama']"
Ashes in the Snow,"['drama', 'history', 'romance', 'war']"
Ashfall,"['action', 'adventure', 'sci-fi', 'thriller']"
Assassin's Creed,"['action', 'adventure', 'sci-fi']"
Assassination Classroom,"['animation', 'action', 'comedy', 'fantasy', 'sci-fi']"
